id,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,review_scores_rating
4605073,40.77577201,-73.97895766,Apartment,Entire home/apt,2,1,0,1,Real Bed,175,93
7881928,40.79594862,-73.96981193,Apartment,Entire home/apt,4,1,1,1,Real Bed,169,
148825,40.79765089,-73.96244597,Apartment,Entire home/apt,4,1,2,2,Real Bed,159,88
8144339,40.80061685,-73.96140553,Apartment,Private room,1,1,1,1,Real Bed,35,
6585852,40.80132694,-73.96573945,Apartment,Private room,1,1,1,1,Real Bed,60,92
3819407,40.77590609,-73.98022382,Apartment,Entire home/apt,4,1,1,1,Real Bed,300,95
6965153,40.80284128,-73.96501934,Apartment,Private room,2,1,1,1,Real Bed,105,89
8013741,40.77642117,-73.9803381,Apartment,Entire home/apt,4,1,1,2,Real Bed,275,
5392443,40.79091494,-73.97392511,Apartment,Private room,2,0,1,1,Real Bed,110,
4606204,40.78689135,-73.97278509,Apartment,Entire home/apt,2,1,1,1,Real Bed,252,97
7621629,40.80298934,-73.96464637,Apartment,Private room,1,1,1,1,Real Bed,40,
7896727,40.79124414,-73.96747657,Apartment,Entire home/apt,4,1,1,2,Real Bed,150,
1330430,40.77294976,-73.9808131,Apartment,Entire home/apt,2,1,0,1,Real Bed,199,92
4476253,40.78203744,-73.97624176,Apartment,Entire home/apt,5,1,2,2,Real Bed,219,100
3820974,40.77454445,-73.97950333,Apartment,Entire home/apt,4,1,2,3,Real Bed,350,93
937448,40.77634665,-73.98787982,Apartment,Entire home/apt,3,1,1,1,Real Bed,185,100
3952264,40.78314688,-73.9797561,Apartment,Entire home/apt,2,1,0,1,Real Bed,100,92
4476605,40.77706038,-73.98406685,Apartment,Entire home/apt,6,2,3,3,Real Bed,550,
5525206,40.77361338,-73.97907839,Apartment,Entire home/apt,2,1,0,1,Real Bed,180,90
8015959,40.78243477,-73.97478752,Apartment,Entire home/apt,5,1,1,1,Real Bed,200,
6836648,40.78215336,-73.9749635,Apartment,Entire home/apt,4,1,1,2,Real Bed,250,98
3953073,40.77661491,-73.97854332,Apartment,Shared room,2,2,1,1,Couch,85,
5395116,40.79368109,-73.97323965,Apartment,Entire home/apt,3,1,0,1,Real Bed,150,
1856182,40.7756019,-73.97873278,Apartment,Entire home/apt,2,1,0,1,Real Bed,150,87
5858087,40.78596965,-73.97727134,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,
7693124,40.77367573,-73.98704453,Apartment,Private room,1,1,1,1,Real Bed,45,80
7867890,40.8026849,-73.96899666,Apartment,Entire home/apt,4,1,1,2,Real Bed,125,
6706280,40.78429826,-73.97038114,Apartment,Private room,1,1,1,1,Airbed,95,100
7612448,40.77289423,-73.98929276,Apartment,Entire home/apt,2,1,1,1,Real Bed,275,
6444289,40.78378632,-73.97389474,Apartment,Entire home/apt,3,1,0,1,Real Bed,250,90
4871562,40.78050002,-73.97824048,House,Entire home/apt,4,1,1,2,Real Bed,350,
6182430,40.77563199,-73.98483711,Apartment,Private room,2,1,1,1,Real Bed,125,92
4085586,40.77963454,-73.9789512,Apartment,Entire home/apt,6,1.5,4,4,Real Bed,800,
4489227,40.77781019,-73.97676498,Apartment,Entire home/apt,4,1,1,2,Real Bed,300,
1971540,40.77020794,-73.98720828,Apartment,Private room,2,1,1,2,Real Bed,155,88
2774934,40.77024142,-73.98746477,Apartment,Shared room,1,1,1,1,Real Bed,70,97
3692506,40.79725636,-73.9611238,Apartment,Private room,3,1,1,1,Real Bed,95,95
2250790,40.79833766,-73.96799929,Apartment,Private room,1,1,1,1,Real Bed,85,
7755875,40.79461099,-73.97450609,Apartment,Entire home/apt,4,1,0,1,Real Bed,120,
4872295,40.7917179,-73.97277972,Apartment,Entire home/apt,2,1,0,1,Real Bed,185,76
2775553,40.77851871,-73.9857711,Apartment,Private room,2,1.5,1,1,Real Bed,165,94
809567,40.80018991,-73.96961386,Apartment,Private room,3,1,1,1,Real Bed,70,96
416426,40.77801404,-73.98384923,Apartment,Entire home/apt,6,1,1,5,Real Bed,299,93
6970158,40.78655551,-73.98014393,Apartment,Entire home/apt,2,1,0,1,Real Bed,170,
7228424,40.77465507,-73.98667398,Apartment,Private room,1,1,1,1,Real Bed,60,
285853,40.79636791,-73.96893269,Apartment,Entire home/apt,4,1,2,2,Real Bed,160,95
4349358,40.77474358,-73.97886258,Apartment,Private room,2,1,1,1,Real Bed,125,87
3717729,40.7879853,-73.97639963,Apartment,Entire home/apt,2,1,0,1,Real Bed,185,90
4480594,40.7919048,-73.96470146,Apartment,Entire home/apt,4,1,1,2,Real Bed,10000,95
7757589,40.77925371,-73.98378045,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,
2514760,40.79731545,-73.97258945,Apartment,Entire home/apt,2,1,1,2,Real Bed,175,100
4874363,40.7945292,-73.97491466,Apartment,Private room,2,1,1,1,Futon,95,93
2908612,40.79233529,-73.96855823,Apartment,Entire home/apt,2,1,0,1,Real Bed,250,100
5661381,40.79712427,-73.96955709,Apartment,Entire home/apt,3,1,1,2,Real Bed,375,95
7016626,40.79476127,-73.96647988,Apartment,Entire home/apt,4,1,0,1,Real Bed,173,
4613323,40.77247946,-73.98009678,Apartment,Entire home/apt,3,1,1,1,Real Bed,200,95
2909461,40.78352443,-73.97482397,Apartment,Entire home/apt,5,1,1,1,Real Bed,200,82
5006686,40.77477946,-73.98783754,Apartment,Entire home/apt,2,1,0,1,Real Bed,225,
6055341,40.77198725,-73.97951821,Apartment,Entire home/apt,2,1,1,1,Real Bed,180,53
8021647,40.77880005,-73.98449396,Apartment,Entire home/apt,4,1,2,2,Real Bed,320,
1861493,40.78618431,-73.97338733,Apartment,Entire home/apt,2,1,1,1,Real Bed,199,100
3434471,40.79036813,-73.97194903,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,100
3477897,40.7857587,-73.97792599,Apartment,Entire home/apt,3,1,1,1,Real Bed,275,80
6974062,40.78344802,-73.97877185,Apartment,Entire home/apt,4,1,2,2,Real Bed,180,60
6188014,40.77900906,-73.97596234,Apartment,Entire home/apt,2,1,1,1,Real Bed,225,100
2387035,40.78365671,-73.9764333,Apartment,Entire home/apt,2,1,0,1,Real Bed,200,
3304670,40.77469829,-73.98798836,Apartment,Shared room,2,1,1,1,Pull-out Sofa,98,95
6974728,40.8001606,-73.96447555,Apartment,Private room,2,1,1,1,Real Bed,125,92
7105913,40.7793847,-73.98250724,Apartment,Entire home/apt,3,1,1,2,Real Bed,200,
7630422,40.78733444,-73.97364498,Apartment,Entire home/apt,4,1,0,2,Real Bed,250,80
7630644,40.79999554,-73.96801509,Apartment,Private room,2,1,1,1,Real Bed,75,
4747059,40.7941318,-73.97389428,Apartment,Entire home/apt,3,1,0,1,Real Bed,160,100
6844394,40.79327411,-73.96925835,Apartment,Private room,2,1,1,1,Real Bed,105,98
2626256,40.78400538,-73.9823305,Apartment,Entire home/apt,2,1,0,1,Real Bed,185,97
553370,40.79962897,-73.96646351,Apartment,Entire home/apt,4,1,1,1,Real Bed,130,100
7281000,40.7871728,-73.97701888,Apartment,Entire home/apt,4,1,1,2,Real Bed,200,100
4879332,40.77637016,-73.98981268,Apartment,Entire home/apt,4,1,0,2,Real Bed,160,
5534747,40.79334911,-73.97224405,Apartment,Entire home/apt,2,1,0,1,Real Bed,125,76
1340568,40.79906811,-73.97241608,Apartment,Entire home/apt,4,1,2,2,Real Bed,250,89
6185530,40.76933366,-73.98595995,Apartment,Entire home/apt,3,1,1,2,Real Bed,300,100
2768111,40.77844674,-73.97881811,Apartment,Entire home/apt,4,1,1,2,Real Bed,195,100
5488221,40.79929465,-73.966547,Apartment,Entire home/apt,4,1,1,1,Real Bed,99,67
7632731,40.78739885,-73.97381317,Apartment,Entire home/apt,5,3,4,4,Real Bed,650,
3570246,40.77691509,-73.97719481,Apartment,Private room,2,1.5,1,1,Real Bed,99,90
5932092,40.78572733,-73.97593744,Apartment,Entire home/apt,4,2,2,1,Real Bed,200,
295998,40.79090428,-73.96761899,Apartment,Entire home/apt,2,,1,1,Real Bed,300,97
951439,40.78377781,-73.97461268,Apartment,Entire home/apt,3,1,1,2,Real Bed,350,100
6194377,40.8020827,-73.96310112,Apartment,Private room,2,1,1,1,Real Bed,107,85
7898302,40.78888408,-73.97722823,Apartment,Entire home/apt,4,1,1,1,Real Bed,150,
6456733,40.78360686,-73.97745646,Apartment,Entire home/apt,2,1,0,1,Real Bed,145,97
3835334,40.79997586,-73.9640394,Apartment,Entire home/apt,3,1,1,2,Real Bed,150,
6908835,40.79009833,-73.97865651,Apartment,Private room,2,1,1,1,Airbed,89,
5015202,40.79701466,-73.96371257,Apartment,Entire home/apt,2,1,1,1,Real Bed,144,60
4491062,40.80163044,-73.96655932,Apartment,Entire home/apt,2,1,0,1,Real Bed,90,
2262868,40.79431981,-73.9726928,Apartment,Entire home/apt,3,1,1,1,Real Bed,150,100
7302116,40.79961391,-73.96354532,Apartment,Entire home/apt,2,1,0,1,Real Bed,150,82
2003807,40.79320698,-73.96940436,Apartment,Entire home/apt,4,1,1,2,Real Bed,1000,
4884601,40.79527393,-73.96485877,Apartment,Entire home/apt,2,1,1,1,Real Bed,225,
168810,40.78568621,-73.97581397,Apartment,Entire home/apt,4,1,1,1,Real Bed,175,93
4098456,40.78191637,-73.9795924,Apartment,Private room,1,1,1,1,Real Bed,115,
7899569,40.79193712,-73.96720648,Apartment,Shared room,2,1,1,1,Pull-out Sofa,68,
2918859,40.78017692,-73.98885009,Apartment,Private room,2,1,1,1,Real Bed,195,91
6450331,40.77410712,-73.98232845,Apartment,Entire home/apt,2,1,1,1,Real Bed,3500,100
5554709,40.77974455,-73.98017428,Apartment,Private room,2,1.5,1,2,Real Bed,125,88
6909447,40.78266778,-73.97660701,Apartment,Entire home/apt,2,1,0,1,Real Bed,140,97
2788637,40.78111635,-73.98096225,Apartment,Entire home/apt,2,1,1,1,Real Bed,156,
1478084,40.77116671,-73.9857098,Apartment,Entire home/apt,2,1,0,2,Real Bed,550,98
3052726,40.78576457,-73.97593777,Apartment,Entire home/apt,4,1,2,2,Real Bed,300,96
7771362,40.77525204,-73.98529951,Apartment,Entire home/apt,2,1,0,1,Real Bed,205,
7246159,40.79024215,-73.97911347,Apartment,Entire home/apt,4,1,2,2,Real Bed,200,
7246203,40.79494897,-73.97260024,Apartment,Private room,2,1,1,1,Real Bed,100,
4362725,40.79970267,-73.96120218,Apartment,Private room,2,1,1,1,Real Bed,150,91
430665,40.79233835,-73.96481839,Apartment,Entire home/apt,4,1,1,2,Real Bed,250,97
3310042,40.79129737,-73.96753641,Apartment,Entire home/apt,4,1,1,1,Real Bed,255,96
4621048,40.78744004,-73.97080641,Apartment,Entire home/apt,4,1,1,1,Real Bed,150,
4362837,40.80012775,-73.96262789,Apartment,Private room,2,1,1,1,Real Bed,130,92
1816759,40.79335756,-73.96634044,Apartment,Entire home/apt,8,2,2,4,Real Bed,599,97
1606640,40.77511939,-73.98959039,Apartment,Entire home/apt,2,1,1,1,Real Bed,199,98
6461827,40.80213002,-73.97000901,Apartment,Entire home/apt,4,1,1,1,Real Bed,250,
957002,40.79820447,-73.96393976,Apartment,Entire home/apt,2,1,1,1,Pull-out Sofa,100,73
5413770,40.78161634,-73.98136987,Apartment,Entire home/apt,4,1,1,1,Real Bed,160,85
