STATE,COUNTY_CODE,COUNTY,TRACT,pop_tot,insured,uninsured,pct_unins,pct_insur,med_age,age_undr25,age_25_64,age_65over,pct_undr25,pct_25_64,pct_65over,labor_frc,employed,unemployed,pct_empl,pct_unemp,married,pct_mar,white,pct_white,hisp,pct_hisp,med_income
Arizona,13,Maricopa County,61015,6037,5534,503,0.0833195296,0.9166804704,28.9,2472,3069,496,0.4094749048,0.508365082,0.0821600133,2973,2691,282,0.9051463169,0.0948536831,2060,0.4598214286,3271,0.54182541,1826,0.3024681133,67773
Arizona,13,Maricopa County,61016,5226,4802,376,0.0726149092,0.9273850908,34.7,2036,2832,358,0.389590509,0.5419058553,0.0685036357,2624,2456,120,0.9359756098,0.0457317073,2544,0.6728378736,3031,0.5799846919,1066,0.2039800995,95438
Arizona,13,Maricopa County,61017,3373,0,0,,,35,262,3072,39,0.0776756597,0.910761933,0.0115624074,0,0,0,#DIV/0!,,631,0.1870738215,1472,0.4364067596,972,0.2881707679,
Arizona,13,Maricopa County,61018,4639,4596,43,0.0092692391,0.9907307609,71.1,0,730,3909,0,0.1573615003,0.8426384997,703,675,28,0.960170697,0.039829303,3673,0.7917654667,4337,0.9348997629,128,0.0275921535,64135
Arizona,13,Maricopa County,61019,3637,3346,291,0.0800109981,0.9199890019,30.9,1461,1797,379,0.4017047017,0.4940885345,0.1042067638,1845,1718,127,0.9311653117,0.0688346883,1309,0.4744472635,1598,0.4393731097,1431,0.3934561452,61094
Arizona,13,Maricopa County,61020,3885,3605,259,0.0670289855,0.9329710145,37.2,1314,2186,385,0.3382239382,0.5626769627,0.0990990991,2082,1915,146,0.9197886647,0.0701248799,1883,0.6220680542,2164,0.557014157,929,0.2391248391,91156
Arizona,13,Maricopa County,61021,1947,1719,214,0.1107087429,0.8892912571,27.6,948,907,92,0.4869029276,0.4658448896,0.0472521828,903,863,26,0.9557032115,0.0287929125,833,0.6305828917,869,0.4463276836,389,0.1997945557,81898
Arizona,13,Maricopa County,61022,11381,9813,1552,0.1365596128,0.8634403872,29.8,4485,6321,575,0.394077849,0.5553993498,0.0505228012,5464,5175,273,0.9471083455,0.0499633968,3770,0.4662956092,5395,0.4740356735,4115,0.3615675248,52232
Arizona,13,Maricopa County,61023,10887,9513,1374,0.1262055663,0.8737944337,32.5,4051,6083,753,0.3720951594,0.5587397814,0.0691650592,5946,5823,123,0.9793138244,0.0206861756,5113,0.6588068548,4773,0.4384127859,3813,0.3502342243,76667
Arizona,13,Maricopa County,61024,2256,2104,152,0.0673758865,0.9326241135,24.1,1200,959,97,0.5319148936,0.4250886525,0.0429964539,1120,1028,92,0.9178571429,0.0821428571,686,0.4391805378,849,0.3763297872,1022,0.4530141844,50521
